region	age	gender	income
BB	42	N	6645
BB	31	N	8021
BB	23	N	6635
BB	40	F	6871
BB	21	M	7166
BB	24	N	5341
BB	29	N	7322
BB	35	M	10861
BB	45	M	9977
BB	25	N	8888
BB	22	N	6688
BB	29	F	8448
BB	42	N	6618
BB	21	M	6129
BB	44	F	6519
BB	44	F	6777
BB	38	N	8471
BB	50	F	6496
BB	24	F	7297
BB	21	M	6791
BB	37	M	8744
BB	36	N	9297
BB	20	N	5218
BB	34	N	7813
BB	21	N	7554
BB	42	F	7651
BB	24	N	6932
BB	30	F	9402
BB	32	N	6454
BB	22	F	4800
BB	35	N	5895
BB	28	N	5663
BB	22	M	8215
BB	27	F	5872
BB	50	N	8806
BB	43	F	7487
BB	49	M	9274
BB	33	M	8535
BB	27	M	8705
BB	24	F	8135
BB	23	M	6057
BB	24	N	3938
BB	32	M	7272
BB	21	N	6707
BB	28	M	5366
BB	42	M	9164
BB	39	F	9641
BB	22	F	6716
BB	39	N	9532
BB	31	N	10198
BB	24	N	6278
CC	44	M	8909
CC	47	N	9400
CC	32	N	6518
CC	45	F	12745
CC	40	M	8811
CC	34	F	7612
CC	37	F	7923
CC	40	M	7027
CC	38	M	8456
CC	47	F	9257
CC	35	F	7947
CC	40	M	7561
CC	43	F	12029
CC	28	M	7478
CC	49	N	12834
CC	33	M	8935
CC	48	F	11214
CC	38	F	9552
CC	42	F	8483
CC	31	M	9448
CC	44	F	10907
CC	39	F	10266
CC	37	F	8545
CC	26	M	12475
CC	28	N	7186
CC	43	N	11423
CC	44	F	6351
CC	42	N	10206
CC	41	N	7193
CC	28	F	6661
CC	38	M	6709
CC	28	N	4194
CC	30	M	7947
CC	49	N	10115
CC	36	N	4382
CC	31	F	10925
CC	35	F	10903
CC	39	N	10465
CC	33	M	12856
CC	39	F	9204
CC	53	F	9735
CC	34	F	8676
CC	32	N	8189
CC	45	N	7744
CC	39	F	13005
CC	45	F	8056
CC	30	F	8594
CC	32	F	5041
CC	39	F	9765
CC	31	N	8437
CC	34	M	9083
CC	46	M	5373
CC	26	M	9967
CC	49	F	6696
CC	38	N	9033
CC	38	F	7445
CC	47	F	7657
CC	54	F	6820
CC	55	F	9785
CC	40	N	6289
CC	37	N	11830
CC	52	F	11094
CC	38	F	7454
CC	31	N	10456
CC	43	N	12064
CC	35	M	6148
CC	21	F	8643
CC	46	F	9251
CC	42	F	9082
CC	39	M	8975
CC	42	F	10709
CC	47	F	6772
CC	56	F	7500
CC	30	F	12244
CC	50	M	7882
CC	24	M	5055
CC	50	F	8074
CC	41	F	10497
CC	28	N	11615
CC	45	F	13327
CC	34	M	7024
CC	36	F	9622
CC	20	F	7570
CC	53	F	10141
CC	50	N	9553
CC	38	F	9573
CC	36	N	11192
CC	28	N	9351
CC	42	N	6946
CC	27	M	7880
CC	31	N	5409
CC	26	F	7647
CC	36	F	9045
CC	41	N	5015
CC	38	M	9230
CC	40	F	8321
CC	53	F	13584
CC	48	N	5111
CC	50	F	10108
CC	51	F	8295
DD	36	N	4087
DD	25	N	5522
DD	45	F	7473
DD	54	M	6033
DD	23	N	6533
DD	36	F	7545
DD	44	M	4527
DD	28	N	1760
DD	24	F	6601
DD	37	N	1508
DD	28	M	5935
DD	57	M	5260
DD	41	N	6154
DD	26	M	6650
DD	51	F	10812
DD	39	N	1714
DD	44	F	6779
DD	21	M	5881
DD	43	F	4997
DD	42	N	3760
DD	23	N	8579
DD	53	M	8119
DD	28	M	3167
DD	24	N	5116
DD	31	M	8712
DD	23	N	10080
DD	22	N	2707
DD	47	M	6128
DD	42	M	7676
DD	45	M	5759
DD	52	M	5126
DD	40	M	4166
DD	35	M	6856
DD	32	F	8602
DD	26	M	6448
DD	24	M	6156
DD	41	F	8228
DD	52	M	2771
DD	37	N	1505
DD	51	N	5676
DD	35	N	3215
DD	22	M	-1786
DD	26	N	2521
DD	43	F	2910
DD	35	M	5183
DD	33	M	6925
DD	29	M	3216
DD	36	N	1925
DD	49	N	3162
DD	46	M	5211
DD	32	M	6067
DD	30	M	3491
DD	27	M	6586
DD	45	M	6144
DD	33	M	3378
DD	53	M	7765
DD	44	M	3652
DD	25	M	5014
DD	47	M	5809
DD	36	M	5491
DD	44	F	3536
DD	36	N	4360
DD	41	M	3913
DD	51	F	7037
DD	52	N	5806
DD	41	M	4524
DD	30	M	4930
DD	39	F	7863
DD	45	M	7233
DD	54	N	7961
DD	53	M	3938
DD	39	M	3747
DD	41	M	4509
DD	34	N	4205
DD	21	F	4015
DD	48	N	5758
DD	51	M	4856
DD	45	F	5131
DD	24	F	8028
DD	52	F	6007
DD	27	N	4635
DD	41	M	6386
DD	48	N	8173
DD	40	F	6838
DD	37	M	6329
DD	40	M	7608
DD	52	F	8550
DD	45	N	2827
DD	40	N	7324
DD	52	M	6696
DD	28	F	5915
DD	51	F	3369
DD	42	F	9713
DD	39	M	4322
DD	33	N	4272
DD	53	N	7208
DD	54	M	4616
DD	45	N	5892
DD	51	M	7869
DD	28	N	3244
EE	43	M	7262
EE	38	M	6145
EE	46	N	6153
EE	40	N	6771
EE	60	M	7798
EE	54	F	6869
EE	32	M	4284
EE	52	F	8487
EE	44	N	8102
EE	49	N	8006
EE	23	F	6679
EE	34	F	6961
EE	44	N	5515
EE	25	N	6989
EE	34	F	6477
EE	29	N	4303
EE	33	F	7635
EE	36	F	8366
EE	59	M	7206
EE	50	F	8435
EE	21	M	6713
EE	29	M	5166
EE	53	F	7657
EE	43	F	9990
EE	58	N	6643
EE	58	F	9170
EE	30	M	8429
EE	41	N	6218
EE	36	N	6375
EE	24	F	10299
EE	21	F	5158
EE	48	F	7087
EE	24	F	6299
EE	44	M	5948
EE	27	F	5871
EE	32	F	6296
EE	41	M	5865
EE	45	M	7431
EE	56	F	8100
EE	46	F	10231
EE	55	F	7446
EE	41	M	8456
EE	41	M	5108
EE	33	F	7809
EE	41	M	6525
EE	41	M	7166
EE	53	M	7409
EE	46	F	8524
EE	32	M	4674
EE	52	M	8146
EE	40	N	5896
EE	32	N	7742
EE	59	N	6724
EE	46	M	8161
EE	35	N	7578
EE	49	N	5116
EE	45	F	8682
EE	40	N	5011
EE	56	F	7596
EE	27	M	4700
EE	43	M	6960
EE	40	F	7332
EE	42	M	6087
EE	46	M	6768
EE	45	N	6254
EE	44	N	5849
EE	43	F	7314
EE	27	N	6068
EE	60	M	7680
EE	28	M	5585
EE	57	F	8981
EE	54	N	8130
EE	53	N	7185
EE	34	N	5315
EE	23	F	7390
EE	43	M	6802
EE	46	M	8434
EE	22	M	4427
EE	46	F	6715
EE	42	F	8078
EE	25	F	8219
EE	39	F	8117
EE	59	F	5694
EE	39	F	7818
EE	29	N	6290
EE	50	M	6812
EE	45	M	5570
EE	23	N	6513
EE	42	M	7706
EE	58	M	6716
EE	48	F	7455
EE	31	F	8749
EE	30	M	7212
EE	36	N	7393
EE	29	N	6025
EE	55	M	6906
EE	39	M	8562
EE	44	M	5894
EE	35	F	9028
EE	51	F	8623
